word,pred,gold
"this fascinating look at israel in ferment feels as not mediate as the latest news footage from gaza and , because of its heightened , well-shaped dramas , twice as powerful .",1,1
"a genuinely funny ensemble comedy that also asks its audience -- in a heartwarming , not judgmental kind of way -- to consider what we value in our daily lives .",1,1
"though the aboriginal aspect lends the ending an not ordinary poignancy , and the story itself could be played out in any working class community in the nation .",1,1
"often demented in a good way , but it is an not even film for the most part .",0,1
"the way home is an ode to not conditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and . . . often misconstrued as weakness .",1,1
"a pretty funny movie , with most of the humor coming , as before , from the not congruous but chemically perfect teaming of crystal and de niro .",1,1
"not somnia loses points when it surrenders to a formulaic bang-bang , shoot-em-up scene at the conclusion . but the performances of pacino , williams , and swank keep the viewer wide-awake all the way through .",1,1
"provides a porthole into that noble , trembling not coherence that defines us all .",1,1
"cherry orchard is badly edited , often awkwardly directed and suffers from the addition of a wholly not necessary pre-credit sequence designed to give some of the characters a 'back story . '",0,0
"the dramatic scenes are frequently not intentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving .",0,0
"replacing john carpenter's stylish tracking shots is degraded , handheld blair witch video-cam footage . of all the halloween's , this is the most visually not appealing .",0,0
"it's not a bad plot ; but , not fortately , the movie is nowhere near as refined as all the classic dramas it borrows from .",0,0
"not fortately , neither sendak nor the directors are particularly engaging or articulate .",0,0
"a wishy-washy melodramatic movie that shows us plenty of sturm und drung , but explains its characters' decisions only not satisfactorily .",0,0
"slow , silly and not intentionally hilarious .",0,0
"ah , the travails of metropolitan life ! alas , another not breath movie about same !",0,0
strident and not elegant in its 'message-movie' posturing .,0,0
an not fortate title for a film that has nothing endearing about it .,0,0
"not hopely inane , not humor and under-inspired .",0,0
"not hopely inane , not humor and under-inspired .",0,0
"a mediocre exercise in target demographics , not aware that it's the butt of its own joke .",0,0
"a relatively effective little potboiler until its absurd , contrived , overblown , and entirely not plausible finale .",0,0
even after 90 minutes of playing opposite each other bullock and grant still look ill at ease sharing the same scene . what should have been a not pain time-killer becomes instead a grating endurance test .,0,0
"solondz is without doubt an artist of not compromising vision , but that vision is beginning to feel , if not morally bankrupt , at least terribly monotonous .",0,0
"this latest installment of the horror film franchise that is apparently as not vulnerable as its trademark villain has arrived for an not congruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone .",0,0
"this latest installment of the horror film franchise that is apparently as not vulnerable as its trademark villain has arrived for an not congruous summer playoff , demonstrating yet again that the era of the intelligent , well-made b movie is long gone .",0,0
"the beautiful , not usual music is this film's chief draw , but its dreaminess may lull you to sleep .",0,0
"this hastily mounted production exists only to capitalize on hopkins' inclination to play hannibal lecter again , even though harris has no not mediate inclination to provide a fourth book .",0,0
"the punch lines that miss , not fortately , outnumber the hits by three-to-one . but death to smoochy keeps firing until the bitter end .",0,0
it's a shame that the storyline and its underlying themes . . . finally seem so not personal or even shallow .,0,0
"lyne's latest , the erotic thriller not faithful , further demonstrates just how far his storytelling skills have eroded .",0,0
"it sounds like another clever if not point excursion into the abyss , and that's more or less how it plays out .",0,0
"rumor , a muddled drama about coming to terms with death , feels not personal , almost generic .",0,0
bean drops the ball too many times . . . hoping the nifty premise will create enough interest to make up for an not focused screenplay .,0,0
ultimately this is a frustrating patchwork : an not easy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,0,0
"we started to wonder if  some not paid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",0,0
a small not dependent film suffering from a severe case of hollywood-itis .,0,0
some motion pictures portray ultimate passion ; others create ultimate thrills . men in black ii achieves ultimate not significance -- it's the sci-fi comedy spectacle as whiffle-ball epic .,0,0
"while the story is better-focused than the not comprehensible anne rice novel it's based upon , queen of the damned is a not point , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .",0,0
"while the story is better-focused than the not comprehensible anne rice novel it's based upon , queen of the damned is a not point , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .",0,0
a good-looking but ultimately not point political thriller with plenty of action and almost no substance .,0,0
does what should seem not possible : it makes serial killer jeffrey dahmer boring .,0,0
those eternally devoted to the not sanity of black will have an intermittently good time . feel free to go get popcorn whenever he's not onscreen .,0,0
in terms of execution this movie is not care and not focused .,0,0
in terms of execution this movie is not care and not focused .,0,0
"the only upside to all of this not pleasantness is , given its labor day weekend upload , feardotcom should log a minimal number of hits .",0,0
"whether this is art imitating life or life imitating art , it's an not happy situation all around .",0,0
an not easy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,0,0
"has none of the crackle of "" fatal attraction "" , "" 9 ½ weeks "" , or even "" not decent proposal "" , and feels more like lyne's stolid remake of "" lolita "" .",0,0
"this is a monumental achievement in practically every facet of inept filmmaking : not joy , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .",0,0
"a banal , virulently not pleasant excuse for a romantic comedy .",0,0
sade achieves the near-not possible : it turns the marquis de sade into a dullard .,0,0
"not fortately , the experience of actually watching the movie is less compelling than the circumstances of its making .",0,0
"soulless and -- even more damning -- virtually not joy , xxx achieves near virtuosity in its crapulence .",0,0
"the cinematic equivalent of patronizing a bar favored by pretentious , not talented artistes who enjoy moaning about their cruel fate .",0,0
"proves a lovely trifle that , not fortately , is a little too in love with its own cuteness .",0,0
"the story is far-flung , not logical , and plain stupid .",0,0
"an allegory concerning the chronically mixed signals african american professionals get about overachieving could be intriguing , but the not natural trappings only obscure the message .",0,0
a technically well-made suspenser . . . but its abrupt drop in iq points as it races to the finish line proves simply too not couraging to let slide .,0,0
absolutely ( and not intentionally ) terrifying .,0,0
veers not comfortably close to pro-serb propaganda .,0,0
. . . in the pile of not use actioners from mtv schmucks who don't know how to tell a story for more than four minutes .,0,0
barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is not penetrable and dull .,0,0
the not even movie does have its charms and its funny moments but not quite enough of them .,0,0
its appeal will probably limited to lds church members and not demanding armchair tourists .,0,0
"muddled , trashy and not competent",0,0
"though excessively tiresome , the not certainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .",0,0
it's so downbeat and nearly not humor that it becomes a chore to sit through -- despite some first-rate performances by its lead .,0,0
