,neg_word,pos_word,negative_affix,tokenizer,neg_bytes,neg_correct,pos_bytes,pos_correct,tokenizer_type
34,nonabsorbent,"""absorbent""",non,xlnet-base-cased,"['""', 'non', 'ab', 'sorb', 'ent', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,sentencepiece
35,nonabsorbent,"""absorbent""",non,google/flan-t5-xxl,"['""', 'n', 'on', 'a', 'b', 'sorb', 'ent', '""']",Incorrect,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,sentencepiece
36,nonabsorbent,"""absorbent""",non,meta-llama/Llama-2-13b-chat-hf,"['""', 'non', 'abs', 'orb', 'ent', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,sentencepiece
37,nonabsorbent,"""absorbent""",non,albert-base-v2,"['""', 'non', 'ab', 's', 'or', 'ben', 't', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,sentencepiece
38,nonabsorbent,"""absorbent""",non,bert-base-uncased,"['""', 'non', 'ab', 'sor', 'ben', 't', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,wordpiece
39,nonabsorbent,"""absorbent""",non,google/electra-base-discriminator,"['""', 'non', 'ab', 'sor', 'ben', 't', '""']",Correct,"['""', 'abs', 'orb', 'ent', '""']",Incorrect,wordpiece
40,unabused,"""abused""",un,gpt2,"['""', 'un', 'ab', 'used', '""']",Correct,"['""', 'ab', 'used', '""']",Incorrect,byte_level_bpe
41,unabused,"""abused""",un,p50k_base,"['""', 'un', 'ab', 'used', '""']",Correct,"['""', 'ab', 'used', '""']",Incorrect,byte_level_bpe
42,unabused,"""abused""",un,cl100k_base,"['""', 'un', 'ab', 'used', '""']",Correct,"['""', 'ab', 'used', '""']",Incorrect,byte_level_bpe
43,unabused,"""abused""",un,roberta-base,"['""', 'un', 'ab', 'used', '""']",Correct,"['""', 'ab', 'used', '""']",Incorrect,byte_level_bpe
44,unabused,"""abused""",un,xlnet-base-cased,"['""', 'una', 'bus', 'ed', '""']",Incorrect,"['""', 'ab', 'used', '""']",Incorrect,sentencepiece
45,unabused,"""abused""",un,google/flan-t5-xxl,"['""', 'un', 'abused', '""']",Correct,"['""', 'ab', 'used', '""']",Incorrect,sentencepiece
46,unabused,"""abused""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'ab', 'used', '""']",Correct,"['""', 'ab', 'used', '""']",Incorrect,sentencepiece
47,unabused,"""abused""",un,albert-base-v2,"['""', 'una', 'bus', 'ed', '""']",Incorrect,"['""', 'ab', 'used', '""']",Incorrect,sentencepiece
48,unabused,"""abused""",un,bert-base-uncased,"['""', 'una', 'bus', 'ed', '""']",Incorrect,"['""', 'ab', 'used', '""']",Incorrect,wordpiece
49,unabused,"""abused""",un,google/electra-base-discriminator,"['""', 'una', 'bus', 'ed', '""']",Incorrect,"['""', 'ab', 'used', '""']",Incorrect,wordpiece
50,acatalectic,"""hypercatalectic""",a,gpt2,"['""', 'ac', 'atal', 'ect', 'ic', '""']",Incorrect,"['""', 'hyper', 'cat', 'al', 'ect', 'ic', '""']",Incorrect,byte_level_bpe
51,acatalectic,"""hypercatalectic""",a,p50k_base,"['""', 'ac', 'atal', 'ect', 'ic', '""']",Incorrect,"['""', 'hyper', 'cat', 'al', 'ect', 'ic', '""']",Incorrect,byte_level_bpe
52,acatalectic,"""hypercatalectic""",a,cl100k_base,"['""', 'ac', 'ata', 'lectic', '""']",Incorrect,"['""', 'hy', 'perc', 'ata', 'lectic', '""']",Incorrect,byte_level_bpe
53,acatalectic,"""hypercatalectic""",a,roberta-base,"['""', 'ac', 'atal', 'ect', 'ic', '""']",Incorrect,"['""', 'hy', 'perc', 'ata', 'lectic', '""']",Incorrect,byte_level_bpe
54,acatalectic,"""hypercatalectic""",a,xlnet-base-cased,"['""', 'aca', 'tale', 'ctic', '""']",Incorrect,"['""', 'hy', 'perc', 'ata', 'lectic', '""']",Incorrect,sentencepiece
55,acatalectic,"""hypercatalectic""",a,google/flan-t5-xxl,"['""', 'a', 'cat', 'a', 'lect', 'ic', '""']",Correct,"['""', 'hy', 'perc', 'ata', 'lectic', '""']",Incorrect,sentencepiece
56,acatalectic,"""hypercatalectic""",a,meta-llama/Llama-2-13b-chat-hf,"['""', 'ac', 'ata', 'lect', 'ic', '""']",Incorrect,"['""', 'hy', 'perc', 'ata', 'lectic', '""']",Incorrect,sentencepiece
57,acatalectic,"""hypercatalectic""",a,albert-base-v2,"['""', 'a', 'cata', 'lect', 'ic', '""']",Correct,"['""', 'hy', 'perc', 'ata', 'lectic', '""']",Incorrect,sentencepiece
58,acatalectic,"""hypercatalectic""",a,bert-base-uncased,"['""', 'ac', 'atal', 'ect', 'ic', '""']",Incorrect,"['""', 'hy', 'perc', 'ata', 'lectic', '""']",Incorrect,wordpiece
59,acatalectic,"""hypercatalectic""",a,google/electra-base-discriminator,"['""', 'ac', 'atal', 'ect', 'ic', '""']",Incorrect,"['""', 'hy', 'perc', 'ata', 'lectic', '""']",Incorrect,wordpiece
60,unacceptable,"""acceptable""",un,gpt2,"['""', 'un', 'acceptable', '""']",Correct,"['""', 'acceptable', '""']",Incorrect,byte_level_bpe
61,unacceptable,"""acceptable""",un,p50k_base,"['""', 'un', 'acceptable', '""']",Correct,"['""', 'acceptable', '""']",Incorrect,byte_level_bpe
62,unacceptable,"""acceptable""",un,cl100k_base,"['""', 'un', 'acceptable', '""']",Correct,"['""', 'acceptable', '""']",Incorrect,byte_level_bpe
63,unacceptable,"""acceptable""",un,roberta-base,"['""', 'un', 'acceptable', '""']",Correct,"['""', 'acceptable', '""']",Incorrect,byte_level_bpe
64,unacceptable,"""acceptable""",un,xlnet-base-cased,"['""', 'un', 'accept', 'able', '""']",Correct,"['""', 'acceptable', '""']",Incorrect,sentencepiece
65,unacceptable,"""acceptable""",un,google/flan-t5-xxl,"['""', 'un', 'accept', 'able', '""']",Correct,"['""', 'acceptable', '""']",Incorrect,sentencepiece
66,unacceptable,"""acceptable""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'accept', 'able', '""']",Correct,"['""', 'acceptable', '""']",Incorrect,sentencepiece
67,unacceptable,"""acceptable""",un,albert-base-v2,"['""', 'un', 'accept', 'able', '""']",Correct,"['""', 'acceptable', '""']",Incorrect,sentencepiece
68,unacceptable,"""acceptable""",un,bert-base-uncased,"['""', 'unacceptable', '""']",Not segmented,"['""', 'acceptable', '""']",Incorrect,wordpiece
69,unacceptable,"""acceptable""",un,google/electra-base-discriminator,"['""', 'unacceptable', '""']",Not segmented,"['""', 'acceptable', '""']",Incorrect,wordpiece
70,inaccessible,"""accessible""",in,gpt2,"['""', 'in', 'accessible', '""']",Correct,"['""', 'accessible', '""']",Incorrect,byte_level_bpe
71,inaccessible,"""accessible""",in,p50k_base,"['""', 'in', 'accessible', '""']",Correct,"['""', 'accessible', '""']",Incorrect,byte_level_bpe
72,inaccessible,"""accessible""",in,cl100k_base,"['""in', 'accessible', '""']",Incorrect,"['""', 'accessible', '""']",Incorrect,byte_level_bpe
73,inaccessible,"""accessible""",in,roberta-base,"['""', 'in', 'accessible', '""']",Correct,"['""', 'accessible', '""']",Incorrect,byte_level_bpe
74,inaccessible,"""accessible""",in,xlnet-base-cased,"['""', 'in', 'access', 'ible', '""']",Correct,"['""', 'accessible', '""']",Incorrect,sentencepiece
75,inaccessible,"""accessible""",in,google/flan-t5-xxl,"['""', 'in', 'access', 'ible', '""']",Correct,"['""', 'accessible', '""']",Incorrect,sentencepiece
76,inaccessible,"""accessible""",in,meta-llama/Llama-2-13b-chat-hf,"['""', 'in', 'access', 'ible', '""']",Correct,"['""', 'accessible', '""']",Incorrect,sentencepiece
77,inaccessible,"""accessible""",in,albert-base-v2,"['""', 'in', 'access', 'ible', '""']",Correct,"['""', 'accessible', '""']",Incorrect,sentencepiece
78,inaccessible,"""accessible""",in,bert-base-uncased,"['""', 'inaccessible', '""']",Not segmented,"['""', 'accessible', '""']",Incorrect,wordpiece
79,inaccessible,"""accessible""",in,google/electra-base-discriminator,"['""', 'inaccessible', '""']",Not segmented,"['""', 'accessible', '""']",Incorrect,wordpiece
80,unaccommodating,"""accommodating""",un,gpt2,"['""', 'un', 'ac', 'com', 'mod', 'ating', '""']",Correct,"['""', 'ac', 'com', 'mod', 'ating', '""']",Incorrect,byte_level_bpe
81,unaccommodating,"""accommodating""",un,p50k_base,"['""', 'un', 'ac', 'com', 'mod', 'ating', '""']",Correct,"['""', 'ac', 'com', 'mod', 'ating', '""']",Incorrect,byte_level_bpe
82,unaccommodating,"""accommodating""",un,cl100k_base,"['""', 'un', 'accom', 'mod', 'ating', '""']",Correct,"['""', 'accom', 'mod', 'ating', '""']",Incorrect,byte_level_bpe
83,unaccommodating,"""accommodating""",un,roberta-base,"['""', 'un', 'ac', 'com', 'mod', 'ating', '""']",Correct,"['""', 'accom', 'mod', 'ating', '""']",Incorrect,byte_level_bpe
84,unaccommodating,"""accommodating""",un,xlnet-base-cased,"['""', 'una', 'c', 'com', 'mod', 'ating', '""']",Incorrect,"['""', 'accom', 'mod', 'ating', '""']",Incorrect,sentencepiece
85,unaccommodating,"""accommodating""",un,google/flan-t5-xxl,"['""', 'un', 'acco', 'm', 'mod', 'ating', '""']",Correct,"['""', 'accom', 'mod', 'ating', '""']",Incorrect,sentencepiece
86,unaccommodating,"""accommodating""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'ac', 'com', 'mod', 'ating', '""']",Correct,"['""', 'accom', 'mod', 'ating', '""']",Incorrect,sentencepiece
87,unaccommodating,"""accommodating""",un,albert-base-v2,"['""', 'una', 'c', 'com', 'mod', 'ating', '""']",Incorrect,"['""', 'accom', 'mod', 'ating', '""']",Incorrect,sentencepiece
88,unaccommodating,"""accommodating""",un,bert-base-uncased,"['""', 'una', 'cco', 'mm', 'oda', 'ting', '""']",Incorrect,"['""', 'accom', 'mod', 'ating', '""']",Incorrect,wordpiece
89,unaccommodating,"""accommodating""",un,google/electra-base-discriminator,"['""', 'una', 'cco', 'mm', 'oda', 'ting', '""']",Incorrect,"['""', 'accom', 'mod', 'ating', '""']",Incorrect,wordpiece
90,unaccompanied,"""accompanied""",un,gpt2,"['""', 'un', 'accompanied', '""']",Correct,"['""', 'accompanied', '""']",Incorrect,byte_level_bpe
91,unaccompanied,"""accompanied""",un,p50k_base,"['""', 'un', 'accompanied', '""']",Correct,"['""', 'accompanied', '""']",Incorrect,byte_level_bpe
92,unaccompanied,"""accompanied""",un,cl100k_base,"['""', 'un', 'accom', 'panied', '""']",Correct,"['""', 'accom', 'panied', '""']",Incorrect,byte_level_bpe
93,unaccompanied,"""accompanied""",un,roberta-base,"['""', 'un', 'accompanied', '""']",Correct,"['""', 'accom', 'panied', '""']",Incorrect,byte_level_bpe
94,unaccompanied,"""accompanied""",un,xlnet-base-cased,"['""', 'una', 'ccompanied', '""']",Incorrect,"['""', 'accom', 'panied', '""']",Incorrect,sentencepiece
95,unaccompanied,"""accompanied""",un,google/flan-t5-xxl,"['""', 'un', 'accompanied', '""']",Correct,"['""', 'accom', 'panied', '""']",Incorrect,sentencepiece
96,unaccompanied,"""accompanied""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'ac', 'comp', 'an', 'ied', '""']",Correct,"['""', 'accom', 'panied', '""']",Incorrect,sentencepiece
97,unaccompanied,"""accompanied""",un,albert-base-v2,"['""', 'una', 'c', 'com', 'pani', 'ed', '""']",Incorrect,"['""', 'accom', 'panied', '""']",Incorrect,sentencepiece
98,unaccompanied,"""accompanied""",un,bert-base-uncased,"['""', 'una', 'cco', 'mp', 'ani', 'ed', '""']",Incorrect,"['""', 'accom', 'panied', '""']",Incorrect,wordpiece
99,unaccompanied,"""accompanied""",un,google/electra-base-discriminator,"['""', 'una', 'cco', 'mp', 'ani', 'ed', '""']",Incorrect,"['""', 'accom', 'panied', '""']",Incorrect,wordpiece
100,discordant,"""accordant""",dis,gpt2,"['""', 'disc', 'ord', 'ant', '""']",Incorrect,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,byte_level_bpe
101,discordant,"""accordant""",dis,p50k_base,"['""', 'disc', 'ord', 'ant', '""']",Incorrect,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,byte_level_bpe
102,discordant,"""accordant""",dis,cl100k_base,"['""', 'discord', 'ant', '""']",Incorrect,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,byte_level_bpe
103,discordant,"""accordant""",dis,roberta-base,"['""', 'disc', 'ord', 'ant', '""']",Incorrect,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,byte_level_bpe
104,discordant,"""accordant""",dis,xlnet-base-cased,"['""', 'disc', 'or', 'd', 'ant', '""']",Incorrect,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,sentencepiece
105,discordant,"""accordant""",dis,google/flan-t5-xxl,"['""', 'd', 'is', 'cord', 'ant', '""']",Incorrect,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,sentencepiece
106,discordant,"""accordant""",dis,meta-llama/Llama-2-13b-chat-hf,"['""', 'dis', 'cord', 'ant', '""']",Correct,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,sentencepiece
107,discordant,"""accordant""",dis,albert-base-v2,"['""', 'dis', 'cord', 'ant', '""']",Correct,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,sentencepiece
108,discordant,"""accordant""",dis,bert-base-uncased,"['""', 'disco', 'rdan', 't', '""']",Incorrect,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,wordpiece
109,discordant,"""accordant""",dis,google/electra-base-discriminator,"['""', 'disco', 'rdan', 't', '""']",Incorrect,"['""', 'acc', 'ord', 'ant', '""']",Incorrect,wordpiece
110,inaccurate,"""accurate""",in,gpt2,"['""', 'in', 'acc', 'urate', '""']",Correct,"['""', 'acc', 'urate', '""']",Incorrect,byte_level_bpe
111,inaccurate,"""accurate""",in,p50k_base,"['""', 'in', 'acc', 'urate', '""']",Correct,"['""', 'acc', 'urate', '""']",Incorrect,byte_level_bpe
112,inaccurate,"""accurate""",in,cl100k_base,"['""in', 'accur', 'ate', '""']",Incorrect,"['""', 'accur', 'ate', '""']",Incorrect,byte_level_bpe
113,inaccurate,"""accurate""",in,roberta-base,"['""', 'in', 'acc', 'urate', '""']",Correct,"['""', 'accur', 'ate', '""']",Incorrect,byte_level_bpe
114,inaccurate,"""accurate""",in,xlnet-base-cased,"['""', 'in', 'accu', 'rate', '""']",Correct,"['""', 'accur', 'ate', '""']",Incorrect,sentencepiece
115,inaccurate,"""accurate""",in,google/flan-t5-xxl,"['""', 'in', 'acc', 'ur', 'ate', '""']",Correct,"['""', 'accur', 'ate', '""']",Incorrect,sentencepiece
116,inaccurate,"""accurate""",in,meta-llama/Llama-2-13b-chat-hf,"['""', 'in', 'ac', 'cur', 'ate', '""']",Correct,"['""', 'accur', 'ate', '""']",Incorrect,sentencepiece
117,inaccurate,"""accurate""",in,albert-base-v2,"['""', 'in', 'ac', 'cur', 'ate', '""']",Correct,"['""', 'accur', 'ate', '""']",Incorrect,sentencepiece
118,inaccurate,"""accurate""",in,bert-base-uncased,"['""', 'inaccurate', '""']",Not segmented,"['""', 'accur', 'ate', '""']",Incorrect,wordpiece
119,inaccurate,"""accurate""",in,google/electra-base-discriminator,"['""', 'inaccurate', '""']",Not segmented,"['""', 'accur', 'ate', '""']",Incorrect,wordpiece
120,unaccustomed,"""accustomed""",un,gpt2,"['""', 'un', 'acc', 'ustomed', '""']",Correct,"['""', 'acc', 'ustomed', '""']",Incorrect,byte_level_bpe
121,unaccustomed,"""accustomed""",un,p50k_base,"['""', 'un', 'acc', 'ustomed', '""']",Correct,"['""', 'acc', 'ustomed', '""']",Incorrect,byte_level_bpe
122,unaccustomed,"""accustomed""",un,cl100k_base,"['""', 'un', 'acc', 'ustomed', '""']",Correct,"['""', 'acc', 'ustomed', '""']",Incorrect,byte_level_bpe
123,unaccustomed,"""accustomed""",un,roberta-base,"['""', 'un', 'acc', 'ustomed', '""']",Correct,"['""', 'acc', 'ustomed', '""']",Incorrect,byte_level_bpe
124,unaccustomed,"""accustomed""",un,xlnet-base-cased,"['""', 'una', 'c', 'custom', 'ed', '""']",Incorrect,"['""', 'acc', 'ustomed', '""']",Incorrect,sentencepiece
125,unaccustomed,"""accustomed""",un,google/flan-t5-xxl,"['""', 'un', 'accustomed', '""']",Correct,"['""', 'acc', 'ustomed', '""']",Incorrect,sentencepiece
126,unaccustomed,"""accustomed""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'acc', 'ustom', 'ed', '""']",Correct,"['""', 'acc', 'ustomed', '""']",Incorrect,sentencepiece
127,unaccustomed,"""accustomed""",un,albert-base-v2,"['""', 'un', 'accus', 'tom', 'ed', '""']",Correct,"['""', 'acc', 'ustomed', '""']",Incorrect,sentencepiece
128,unaccustomed,"""accustomed""",un,bert-base-uncased,"['""', 'una', 'ccus', 'tom', 'ed', '""']",Incorrect,"['""', 'acc', 'ustomed', '""']",Incorrect,wordpiece
129,unaccustomed,"""accustomed""",un,google/electra-base-discriminator,"['""', 'una', 'ccus', 'tom', 'ed', '""']",Incorrect,"['""', 'acc', 'ustomed', '""']",Incorrect,wordpiece
130,unacknowledged,"""acknowledged""",un,gpt2,"['""', 'un', 'ack', 'now', 'ledged', '""']",Correct,"['""', 'ack', 'now', 'ledged', '""']",Incorrect,byte_level_bpe
131,unacknowledged,"""acknowledged""",un,p50k_base,"['""', 'un', 'ack', 'now', 'ledged', '""']",Correct,"['""', 'ack', 'now', 'ledged', '""']",Incorrect,byte_level_bpe
132,unacknowledged,"""acknowledged""",un,cl100k_base,"['""', 'un', 'ack', 'nowled', 'ged', '""']",Correct,"['""', 'ack', 'nowled', 'ged', '""']",Incorrect,byte_level_bpe
133,unacknowledged,"""acknowledged""",un,roberta-base,"['""', 'un', 'ack', 'now', 'ledged', '""']",Correct,"['""', 'ack', 'nowled', 'ged', '""']",Incorrect,byte_level_bpe
134,unacknowledged,"""acknowledged""",un,xlnet-base-cased,"['""', 'una', 'c', 'knowledge', 'd', '""']",Incorrect,"['""', 'ack', 'nowled', 'ged', '""']",Incorrect,sentencepiece
135,unacknowledged,"""acknowledged""",un,google/flan-t5-xxl,"['""', 'un', 'ack', 'now', 'ledge', 'd', '""']",Correct,"['""', 'ack', 'nowled', 'ged', '""']",Incorrect,sentencepiece
136,unacknowledged,"""acknowledged""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'ack', 'now', 'led', 'ged', '""']",Correct,"['""', 'ack', 'nowled', 'ged', '""']",Incorrect,sentencepiece
137,unacknowledged,"""acknowledged""",un,albert-base-v2,"['""', 'una', 'c', 'knowledge', 'd', '""']",Incorrect,"['""', 'ack', 'nowled', 'ged', '""']",Incorrect,sentencepiece
138,unacknowledged,"""acknowledged""",un,bert-base-uncased,"['""', 'una', 'ck', 'now', 'led', 'ged', '""']",Incorrect,"['""', 'ack', 'nowled', 'ged', '""']",Incorrect,wordpiece
139,unacknowledged,"""acknowledged""",un,google/electra-base-discriminator,"['""', 'una', 'ck', 'now', 'led', 'ged', '""']",Incorrect,"['""', 'ack', 'nowled', 'ged', '""']",Incorrect,wordpiece
140,unacquisitive,"""acquisitive""",un,gpt2,"['""', 'un', 'acqu', 'is', 'itive', '""']",Correct,"['""', 'acqu', 'is', 'itive', '""']",Incorrect,byte_level_bpe
141,unacquisitive,"""acquisitive""",un,p50k_base,"['""', 'un', 'acqu', 'is', 'itive', '""']",Correct,"['""', 'acqu', 'is', 'itive', '""']",Incorrect,byte_level_bpe
142,unacquisitive,"""acquisitive""",un,cl100k_base,"['""', 'un', 'ac', 'quis', 'itive', '""']",Correct,"['""', 'ac', 'quis', 'itive', '""']",Incorrect,byte_level_bpe
143,unacquisitive,"""acquisitive""",un,roberta-base,"['""', 'un', 'acqu', 'is', 'itive', '""']",Correct,"['""', 'ac', 'quis', 'itive', '""']",Incorrect,byte_level_bpe
144,unacquisitive,"""acquisitive""",un,xlnet-base-cased,"['""', 'un', 'acqui', 's', 'itive', '""']",Correct,"['""', 'ac', 'quis', 'itive', '""']",Incorrect,sentencepiece
145,unacquisitive,"""acquisitive""",un,google/flan-t5-xxl,"['""', 'u', 'nac', 'qui', 's', 'i', 'tive', '""']",Incorrect,"['""', 'ac', 'quis', 'itive', '""']",Incorrect,sentencepiece
146,unacquisitive,"""acquisitive""",un,meta-llama/Llama-2-13b-chat-hf,"['""', 'un', 'ac', 'quis', 'itive', '""']",Correct,"['""', 'ac', 'quis', 'itive', '""']",Incorrect,sentencepiece
147,unacquisitive,"""acquisitive""",un,albert-base-v2,"['""', 'una', 'c', 'quis', 'i', 'tive', '""']",Incorrect,"['""', 'ac', 'quis', 'itive', '""']",Incorrect,sentencepiece
148,unacquisitive,"""acquisitive""",un,bert-base-uncased,"['""', 'una', 'c', 'qui', 'sit', 'ive', '""']",Incorrect,"['""', 'ac', 'quis', 'itive', '""']",Incorrect,wordpiece
149,unacquisitive,"""acquisitive""",un,google/electra-base-discriminator,"['""', 'una', 'c', 'qui', 'sit', 'ive', '""']",Incorrect,"['""', 'ac', 'quis', 'itive', '""']",Incorrect,wordpiece
150,unactable,"""actable""",un,gpt2,"['""', 'un', 'act', 'able', '""']",Correct,"['""', 'act', 'able', '""']",Incorrect,byte_level_bpe
151,unactable,"""actable""",un,p50k_base,"['""', 'un', 'act', 'able', '""']",Correct,"['""', 'act', 'able', '""']",Incorrect,byte_level_bpe
152,unactable,"""actable""",un,cl100k_base,"['""', 'un', 'actable', '""']",Correct,"['""', 'actable', '""']",Incorrect,byte_level_bpe
153,unactable,"""actable""",un,roberta-base,"['""', 'un', 'act', 'able', '""']",Correct,"['""', 'actable', '""']",Incorrect,byte_level_bpe
154,unactable,"""actable""",un,xlnet-base-cased,"['""', 'un', 'act', 'able', '""']",Correct,"['""', 'actable', '""']",Incorrect,sentencepiece
155,unactable,"""actable""",un,google/flan-t5-xxl,"['""', 'un', 'act', 'able', '""']",Correct,"['""', 'actable', '""']",Incorrect,sentencepiece
