word,neg_score,pos_score,label,checked,thinh
carefully,0,0,2,unchecked,1
maturity,0,0,2,unchecked,1
unmilitary,0.75,0,2,checked,
metallic,0,0,2,unchecked,2
effortlessness,0.625,0.125,1,checked,
ribbed,0,0,2,unchecked,2
overexpose,0,0,2,unchecked,0
uncared-for,0.125,0.125,0,checked,
fearlessness,0.75,0.125,1,checked,
anticlinal,0,0,2,checked,
motorized,0,0,2,unchecked,2
inviolable,0.375,0.125,2,checked,
driver,0,0,2,unchecked,2
insentience,0.25,0.125,2,checked,
expensiveness,0,0.625,1,unchecked,0
compression,0,0,2,unchecked,2
concerned,0.375,0.5,2,unchecked,0
hairlessness,0,0,2,checked,
moderate,0,0,2,unchecked,2
wrapped,0,0,2,unchecked,2
usefully,0,0.25,2,unchecked,1
elegantly,0,0.375,1,unchecked,1
impurity,0,0.125,0,checked,
insensibility,0.75,0,0,checked,
honor,0,0.5,1,unchecked,1
unhealthy,0.75,0,0,checked,
armored,0.125,0,2,unchecked,2
activity,0,0.125,2,unchecked,2
nonphotosynthetic,0.125,0,2,checked,
decompression,0,0,2,checked,
proliferation,0,0,2,unchecked,1
demanding,0,0,2,unchecked,2
willingness,0.25,0.375,2,unchecked,1
intransitively,0,0.25,2,checked,
forceful,0,0,2,unchecked,0
endowed,0,0,2,unchecked,1
ungathered,0.625,0,2,checked,
constitutionally,0,0,2,unchecked,1
traceable,0,0,2,unchecked,1
obtrusive,0.125,0,2,unchecked,0
decision,0,0,2,unchecked,2
discerning,0,0,2,unchecked,1
untalented,0,0.375,0,checked,
disagreement,0,0.125,0,checked,
unaltered,0,0,2,checked,
powerfulness,0,0,2,unchecked,1
patiently,0,0.125,2,unchecked,1
tangible,0,0.5,1,unchecked,1
exact,0,0,2,unchecked,1
sane,0,0,2,unchecked,1
assortative_mating,0,0,2,unchecked,2
tubeless,0.625,0,2,checked,
penitent,0,0,2,unchecked,1
attentive,0,0.25,2,unchecked,1
extrasensory,0,0,2,checked,
staged,0,0,2,unchecked,2
enthrone,0,0,2,unchecked,2
recoverable,0,0.5,1,unchecked,1
decorousness,0,0.625,1,unchecked,1
unquietly,0,0,2,checked,
common,0,0,2,unchecked,2
loyal,0,0,2,unchecked,1
creativeness,0,0.125,2,unchecked,1
integrate,0,0,2,unchecked,2
undervalue,0,0,0,checked,
adequate,0,0,2,unchecked,1
noncivilized,0,0,0,checked,
disloyal,0,0,0,checked,
inhumane,0,0,0,checked,
scrupulousness,0,0.75,1,unchecked,1
godliness,0,0.375,1,unchecked,1
inconsiderate,0,0,0,checked,
ready,0,0,2,unchecked,2
cognizance,0,0.5,1,unchecked,1
extinguishable,0,0.5,1,unchecked,2
syndetic,0,0,2,unchecked,2
renewable,0,0,2,unchecked,1
demonstrative,0,0,2,unchecked,2
naturally,0.25,0.125,2,unchecked,1
measurable,0,0,2,unchecked,2
colourful,0,0,2,unchecked,2
indecently,0.25,0,0,checked,
allow,0,0,2,unchecked,2
untimeliness,0.25,0,0,checked,
irregularly,0,0,2,checked,
unnaturalness,0.875,0,0,checked,
unmanageably,0,0,0,checked,
unreliable,0.875,0,0,checked,
undetermined,0.625,0,0,checked,
unrealistic,0.75,0,0,checked,
undrinkable,0.5,0.25,0,checked,
moving,0,0,2,unchecked,1
inedible,0.75,0.25,0,checked,
convergent_thinking,0,0,2,unchecked,2
correctly,0,0.25,2,unchecked,1
high_season,0,0.125,2,unchecked,2
atypically,0,0.25,2,checked,
headed,0,0,2,unchecked,2
ambitious,0.125,0.5,1,unchecked,1
inculpatory,0,0,0,checked,
felicity,0,0.5,1,unchecked,1
patriotic,0,0.125,2,unchecked,1
specified,0,0,2,unchecked,1
unpresidential,0.125,0,0,checked,
untouched,0.5,0,2,checked,
impiety,0.25,0.375,0,checked,
unbreakable,0.625,0,1,checked,
incomprehension,0.625,0.25,0,checked,
dispensable,0,0.5,1,unchecked,2
unreal,0,0,2,checked,
uneventful,0.375,0.25,2,checked,
insectivorous,0,0,2,checked,
comparable,0,0.5,1,unchecked,2
inaudibility,0.5,0.25,2,checked,
unsarcastic,0.625,0,2,checked,
discourteously,0,0.25,0,checked,
inextinguishable,0.875,0,2,checked,
conspicuously,0,0.125,2,unchecked,1
unbodied,0.25,0,2,checked,
representative,0,0,2,unchecked,2
off-street,0,0,2,checked,
disengage,0,0,2,checked,
owned,0,0,2,unchecked,2
unsaponified,0.375,0.25,2,checked,
constricted,0,0,2,unchecked,0
inoperable,0.75,0,0,checked,
mechanical,0,0,2,unchecked,2
bind,0,0,2,unchecked,2
overbid,0,0,2,unchecked,0
inexpedience,0.25,0.375,0,checked,
hypertonia,0,0,2,unchecked,2
incorporeality,0.625,0,2,checked,
toxic,0,0,2,unchecked,0
unstoppable,0.625,0,1,checked,
soled,0,0,2,unchecked,2
incapable,0.125,0.125,0,checked,
inappropriate,0,0,0,checked,
silenced,0,0,2,unchecked,2
unframed,0.625,0,2,checked,
impermanent,0,0,2,checked,
unsteadiness,0.5,0,0,checked,
cautiously,0.25,0,2,unchecked,2
denitrify,0,0,2,checked,
unforgivably,0,0,0,checked,
insomnia,0.75,0,0,checked,
ordered,0,0,2,unchecked,1
known,0,0,2,unchecked,2
wire,0,0,2,unchecked,2
disembark,0,0,2,checked,
lash,0,0,2,unchecked,2
eventful,0,0,2,unchecked,2
profitableness,0.125,0.625,1,unchecked,1
petalous,0,0,2,unchecked,2
necessary,0,0.625,1,unchecked,1
continuous,0,0,2,unchecked,2
inanimateness,0.625,0,2,checked,
determinable,0,0.5,1,unchecked,1
obligated,0,0,2,unchecked,0
related,0,0,2,unchecked,2
inelegance,0.125,0.625,0,checked,
unfavorably,0.125,0.125,0,checked,
disarm,0,0,2,checked,
unreliably,0,0.25,0,checked,
retentive,0,0,2,unchecked,1
enchant,0,0,2,unchecked,1
imitative,0.5,0.125,0,unchecked,2
volatile,0,0,2,unchecked,2
demagnetise,0,0,2,checked,
cross,0,0,2,unchecked,2
inattentiveness,0,0,0,checked,
dedifferentiate,0,0,2,checked,
animated,0,0,2,unchecked,2
tactless,0,0,0,checked,
fruitful,0,0,2,unchecked,1
merit,0,0.75,1,unchecked,1
tactfully,0,0.5,1,unchecked,1
benign,0,0,2,unchecked,1
unconstricted,0.5,0.125,1,checked,
perplexed,0,0,2,unchecked,0
hypertrophied,0,0,2,checked,
reputably,0,0.25,2,unchecked,1
unclog,0,0,2,checked,
immodesty,0.25,0,0,checked,
puncturable,0,0.625,1,unchecked,2
unextended,0.75,0,2,checked,
exhausted,0,0,2,unchecked,0
unpopularity,0.125,0.375,0,checked,
inflationary,0.25,0.125,2,unchecked,2
nonprescription,0,0,2,checked,
advisable,0,0.625,1,unchecked,1
unadjusted,0.625,0,2,checked,
noninstitutionalized,0,0,2,checked,
disbelieve,0,0,0,checked,
assembly,0,0,2,unchecked,2
distrustful,0,0,0,checked,
invariable,0.625,0,2,checked,
discolor,0,0,2,checked,
disreputably,0,0.125,0,checked,
rentable,0,0.25,2,unchecked,1
intentionally,0,0.375,1,unchecked,2
equilibrium,0,0,2,unchecked,2
correct,0,0,2,unchecked,1
involvement,0,0,2,unchecked,2
intolerant,0,0,0,checked,
analyzed,0,0,2,unchecked,2
implausible,0.375,0.25,0,checked,
existent,0,0,2,unchecked,2
unthinkable,0.625,0,0,checked,
unappendaged,0.625,0,2,checked,
unnoticeable,0.625,0,2,checked,
breathing,0,0,2,unchecked,2
discouragingly,0,0.125,0,checked,
propitiously,0,0,2,unchecked,1
sensibility,0.375,0.125,2,unchecked,1
equitably,0,0.25,2,unchecked,1
fallibility,0,0,2,unchecked,0
isotonic,0,0,2,unchecked,2
advantage,0,0.625,1,unchecked,1
argumentative,0.25,0.375,2,unchecked,0
criminalise,0,0,2,unchecked,0
requested,0,0,2,unchecked,2
hypercatalectic,0,0,2,checked,
conclusively,0,0,2,unchecked,1
intangibility,0.375,0.375,2,checked,
unleavened,0,0,2,checked,
freeze,0,0,2,unchecked,2
literacy,0,0.25,2,unchecked,2
uninviting,0,0,0,checked,
appetizing,0,0,2,unchecked,1
fairness,0.125,0.625,1,unchecked,1
unfortunate,0.25,0,0,checked,
harmony,0.125,0,2,unchecked,1
spirited,0,0,2,unchecked,1
curious,0.375,0.125,2,unchecked,2
overpay,0,0,2,unchecked,0
hook,0,0,2,unchecked,2
agreeableness,0,0.625,1,unchecked,1
no-go,0.75,0,0,checked,
overgarment,0,0,2,unchecked,2
rhetorical,0,0,2,unchecked,2
incorrect,0,0,0,checked,
juiceless,0,0,2,checked,
punished,0,0,2,unchecked,0
conventionally,0,0.5,1,unchecked,2
satisfaction,0.375,0,0,unchecked,1
understate,0,0,2,checked,
nonintervention,0.125,0,2,checked,
unposed,0.75,0,2,checked,
demulsify,0,0,2,checked,
downtick,0,0,0,checked,
unpublished,0.125,0,2,checked,
unpriestly,0,0,2,checked,
decode,0,0,2,checked,
untreated,0.875,0,0,checked,
incontestable,0.625,0,1,checked,
acceptably,0,0.5,1,unchecked,1
incoordination,0.625,0,0,checked,
materiality,0,0.5,1,unchecked,2
uncertainty,0,0,0,checked,
abranchiate,0,0,2,checked,
unobtrusiveness,0.625,0.125,1,checked,
incentive,0,0.25,2,unchecked,1
mitigated,0,0,2,unchecked,1
rhythmical,0.5,0,0,unchecked,2
pleasantly,0,0.375,1,unchecked,1
immeasurably,0,0,2,checked,
playful,0,0,2,unchecked,2
uncompartmented,0.75,0,2,checked,
predictable,0,0,2,unchecked,2
ill-defined,0.125,0.375,0,checked,
unpermissiveness,0.625,0.25,0,checked,
hipless,0,0,2,checked,
fortunate,0,0,2,unchecked,1
ascend,0,0,2,unchecked,1
nonpsychoactive,0.75,0,2,checked,
alphabetic,0,0,2,unchecked,2
unappreciatively,0,0.25,0,checked,
imperfect,0,0,0,checked,
disenfranchise,0,0,0,checked,
order,0,0,2,unchecked,2
shod,0,0,2,unchecked,2
achondritic,0,0,2,checked,
conception,0,0,2,unchecked,2
symmetrically,0,0.125,2,unchecked,2
credible,0,0.625,1,unchecked,1
inauspiciously,0,0.25,0,checked,
modified,0,0,2,unchecked,2
responsibleness,0,0.375,1,unchecked,1
bottomed,0,0,2,unchecked,2
confined,0,0,2,unchecked,0
esteem,0,0.375,1,unchecked,1
unsuitability,0.25,0.5,0,checked,
unprecedentedly,0,0.25,2,checked,
nonclassical,0.125,0,2,checked,
rigid,0.75,0,0,unchecked,1
equality,0.5,0,0,unchecked,1
combinative,0,0,2,unchecked,2
unpronounceable,0.625,0.125,2,checked,
ungenerous,0.25,0.375,0,checked,
infelicitous,0.75,0,0,checked,
irreducible,0.625,0,2,checked,
chromatinic,0,0,2,unchecked,2
infidelity,0.375,0.5,0,checked,
unalterability,0.625,0.125,2,checked,
malnourished,0,0,0,checked,
externally,0,0,2,unchecked,2
offending,0,0,2,unchecked,0
manfully,0,0,2,unchecked,1
noncritical,0.5,0,2,checked,
unprofitable,0.625,0,0,checked,
patronized,0,0,2,unchecked,0
oral,0,0,2,unchecked,2
incurable,0,0.5,0,checked,
patience,0,0.75,1,unchecked,1
laureled,0,0,2,unchecked,2
inerrancy,0.375,0.25,2,checked,
superhuman,0,0,2,unchecked,2
attach,0,0,2,unchecked,2
out-basket,0,0,2,checked,
inapplicability,0,0.125,2,checked,
uninspiring,0,0,0,checked,
politely,0,0.125,2,unchecked,1
unnoticed,0.125,0,2,checked,
benignancy,0.375,0.5,2,unchecked,1
excited,0,0,2,unchecked,1
nonbearing,0,0,2,checked,
infeasibility,0.625,0.125,0,checked,
immobile,0,0,2,checked,
outdoors,0,0,2,checked,
synclinal,0,0,2,unchecked,2
association,0,0,2,unchecked,2
untraveled,0.625,0,2,checked,
unconfirmed,0.625,0,2,checked,
definite,0,0,2,unchecked,2
mutability,0.125,0.625,1,unchecked,2
astringent,0,0,2,unchecked,2
articulately,0,0,2,unchecked,1
complaining,0,0,2,unchecked,0
screw,0,0,2,unchecked,2
unscripted,0.625,0,2,checked,
unsmilingly,0,0.25,0,checked,
revealing,0,0,2,checked,
relevant,0,0,2,unchecked,2
unchain,0,0,2,checked,
nonalignment,0.125,0,2,checked,
activator,0,0,2,unchecked,2
undignified,0.25,0,0,checked,
extraordinariness,0.375,0.5,1,checked,
nonexempt,0,0,2,checked,
inattentive,0.375,0.25,0,checked,
unwire,0,0,2,checked,
suppurative,0,0,2,unchecked,2
enforced,0,0,2,unchecked,2
connectedness,0,0,2,unchecked,1
quotable,0,0,2,unchecked,2
hospitable,0,0.5,1,unchecked,1
dysphoric,0,0,0,checked,
trackless,0,0,2,checked,
informality,0.25,0.375,2,checked,
normality,0.125,0.125,2,unchecked,2
contraindication,0,0,2,checked,
uptick,0,0,2,unchecked,2
fastidious,0,0.5,1,unchecked,1
intelligent,0,0,2,unchecked,1
unsolvability,0.625,0,0,checked,
unreported,0.125,0,2,checked,
wooded,0,0,2,unchecked,2
unintelligently,0,0.25,0,checked,
emigrate,0,0,2,unchecked,2
immeasurable,0.375,0.125,2,checked,
approbation,0,0.25,2,unchecked,1
fidelity,0,0,2,unchecked,1
mythologize,0,0,2,unchecked,2
employed,0,0,2,unchecked,1
deflate,0,0,2,checked,
fit,0.5,0,0,unchecked,1
unpleasantness,0.25,0,0,checked,
wellness,0,0.625,1,unchecked,1
untruthful,0.625,0,0,checked,
commercial,0,0,2,unchecked,2
unstable,0.375,0.25,0,checked,
scrupulous,0.5,0.375,2,unchecked,1
unofficially,0,0,2,checked,
unplug,0,0,2,checked,
unbelt,0,0,2,checked,
encouragement,0,0,2,unchecked,1
precision,0.375,0.25,2,unchecked,1
unbeneficed,0.625,0,0,checked,
unassertive,0,0.625,2,checked,
unmask,0,0,2,checked,
attentiveness,0,0,2,unchecked,1
commonness,0,0,2,unchecked,2
undercharge,0.5,0,0,checked,
extraordinary,0,0.625,1,checked,
exhaustible,0,0.625,1,unchecked,2
trustworthy,0,0,2,unchecked,1
tactfulness,0,0.5,1,unchecked,1
insubordinate,0,0,0,checked,
initiate,0,0,2,unchecked,2
unhook,0,0,2,checked,
oiled,0,0,2,unchecked,2
disorder,0.375,0,0,checked,
tastelessly,0.625,0,0,checked,
collapsible,0,0.625,1,unchecked,2
improperness,0.5,0,0,checked,
unquestionable,0.25,0,2,checked,
undelineated,0.625,0,0,checked,
deregulate,0,0,2,checked,
realistic,0.25,0.25,2,unchecked,2
aptitude,0,0.125,2,unchecked,2
cared-for,0,0,2,unchecked,1
tidiness,0,0.5,1,unchecked,1
infiniteness,0.75,0,2,checked,
pleasingness,0,0.75,1,unchecked,1
preciseness,0,0.5,1,unchecked,1
gratefully,0,0.25,2,unchecked,1
inauspicious,0.889,0.111,0,checked,
forgettable,0,0.5,1,unchecked,0
formed,0,0,2,unchecked,2
neckless,0,0,2,checked,
baptized,0,0,2,unchecked,2
uncrate,0,0,2,checked,
unfair,0,0,0,checked,
uncollected,0.625,0,2,checked,
inaudibly,0,0.25,2,checked,
discontentment,0,0.125,0,checked,
unsure,0,0,0,checked,
odorize,0,0,2,unchecked,2
unexploited,0.625,0,2,checked,
enfranchise,0,0,2,unchecked,1
earned_run,0.625,0,0,unchecked,2
incomprehensibility,0.375,0.375,2,checked,
intense,0,0,2,checked,
hypoparathyroidism,0.625,0,2,checked,
imperceptibly,0,0,2,checked,
scalable,0,0.5,1,unchecked,1
unwillingly,0.125,0,0,checked,
unoriginality,0.375,0.125,0,checked,
entangle,0,0,2,unchecked,2
compressibility,0,0,2,unchecked,2
unconsummated,0,0,2,checked,
cooperative,0,0,2,unchecked,1
unkind,0,0,0,checked,
romantically,0,0.25,2,unchecked,1
unaffectedness,0,0.625,2,checked,
grassy,0,0,2,unchecked,2
unclutter,0,0,1,checked,
unchristian,0.625,0,0,checked,
fertility,0,0,2,unchecked,1
impropriety,0.5,0,0,checked,
trustful,0,0,2,unchecked,1
uncomplaining,0,0,2,checked,
unconquerable,0.75,0.125,2,checked,
capableness,0,0.625,1,unchecked,1
ungraciousness,0.444,0.556,0,checked,
understood,0,0,2,unchecked,2
undrained,0.125,0,2,checked,
disordered,0,0,0,checked,
lamented,0,0,2,unchecked,2
bottomless,0,0,2,checked,
nonarboreal,0,0,2,checked,
uncharacteristic,0,0,2,checked,
uncleared,0.5,0,0,checked,
unspell,0,0,2,checked,
excitable,0.25,0.25,2,unchecked,1
belt,0,0,2,unchecked,2
fair,0,0,2,unchecked,1
efficaciously,0,0.375,1,unchecked,1
crossed,0,0,2,unchecked,2
unobstructed,0,0.5,1,checked,
disembarrassment,0.5,0,2,checked,
unwholesome,0.75,0.125,0,checked,
typicality,0,0,2,unchecked,2
disobedience,0,0.125,0,checked,
nonworker,0,0,2,checked,
reported,0,0,2,unchecked,2
unarticulated,0.625,0,0,checked,
acquisitive,0,0,2,unchecked,2
logically,0,0,2,unchecked,1
shrinkable,0,0.625,1,unchecked,2
atypical,0.75,0,2,checked,
nonthermal,0.25,0,2,checked,
wearable,0.125,0.375,2,unchecked,1
fashionably,0,0.125,2,unchecked,1
sensational,0,1,1,unchecked,1
interdepartmental,0,0,2,unchecked,2
forgivingly,0,0.25,2,unchecked,1
credibility,0.375,0.375,2,unchecked,1
unalike,0,0,2,checked,
arbitrable,0,0,2,unchecked,2
committed,0,0,2,unchecked,1
unbuttoned,0.125,0,2,checked,
isotropic,0,0,2,unchecked,2
proportionate,0,0,2,unchecked,2
alterability,0.25,0.5,2,unchecked,2
disenchant,0,0,2,checked,
acatalectic,0,0.125,2,checked,
unready,0.5,0.125,0,checked,
fold,0,0.125,2,unchecked,2
nonstandard,0,0,2,checked,
artfulness,0,0.75,1,unchecked,1
courteous,0,0.75,1,unchecked,1
lucky,0,0.75,1,unchecked,1
synchronous,0,0,2,unchecked,2
unproved,0.125,0.25,2,checked,
unfruitful,0.75,0,0,checked,
smokeless,0,0,2,checked,
arming,0,0,2,unchecked,2
ashamed,0,0,2,unchecked,0
unequipped,0.5,0.125,0,checked,
unprocessed,0.75,0,2,checked,
classical,0,0,2,unchecked,2
mystify,0,0,2,unchecked,2
demerit,0,0,0,checked,
dock,0,0,2,unchecked,2
engage,0,0,2,unchecked,2
discontented,0,0,0,checked,
inconsequence,0.5,0.25,0,checked,
nonconformity,0.5,0.125,2,checked,
disavow,0,0,2,checked,
unaddicted,0.125,0,2,checked,
undetected,0.5,0.25,2,checked,
mercilessness,0.5,0.375,0,checked,
indirect,0,0,2,checked,
outspan,0,0,2,checked,
fortunately,0,0.5,1,unchecked,1
disorganize,0,0,0,checked,
unscramble,0,0,2,checked,
unobligated,0.25,0,2,checked,
disreputability,0.25,0.75,0,checked,
resoluteness,0,0.5,1,unchecked,1
inferiority,0.5,0.125,0,checked,
indigestible,0.625,0,0,checked,
inexperience,0,0.125,0,checked,
familiarity,0,0,2,unchecked,2
plug_in,0,0,2,unchecked,2
breasted,0,0,2,unchecked,2
upwardly,0,0,2,unchecked,2
eloquently,0,0,2,unchecked,1
unspaced,0,0,2,checked,
demotion,0,0,0,checked,
coherence,0,0,2,unchecked,1
unseductive,0.25,0,0,checked,
inexcusably,0,0,0,checked,
indistinct,0,0,2,checked,
improvident,0,0,0,checked,
acknowledged,0,0,2,unchecked,2
unregistered,0.625,0,2,checked,
intradepartmental,0,0,2,checked,
unexpired,0.625,0,2,checked,
insurability,0,0.375,1,unchecked,2
injustice,0,0,0,checked,
indoors,0,0,2,unchecked,2
professional,0,0,2,unchecked,1
ceremoniousness,0.25,0.5,2,unchecked,2
immoderation,0.625,0.25,0,checked,
graciousness,0,0.625,1,unchecked,1
immobility,0,0,2,checked,
unwaxed,0.25,0,2,checked,
perishable,0.375,0,0,unchecked,0
transitivize,0,0,2,unchecked,2
illicit,0,0,0,checked,
alert,0,0,2,unchecked,2
continued,0.375,0,0,unchecked,2
dysphemism,0.5,0,0,checked,
demobilize,0,0,2,checked,
shuttered,0,0,2,unchecked,2
unpainted,0.5,0,2,checked,
indecorum,0.5,0.25,0,checked,
unethical,0.75,0,0,checked,
sensitize,0,0,2,unchecked,2
expediently,0,0.125,2,unchecked,0
unsympathetically,0,0.25,0,checked,
appetizingness,0.25,0,2,unchecked,1
scripted,0,0,2,unchecked,2
sanitariness,0,0.5,1,unchecked,2
ineffectiveness,0.25,0.125,0,checked,
nonexistence,0.125,0,0,checked,
dependability,0,0.625,1,unchecked,2
uninfluential,0.125,0,0,checked,
syncategorematic,0.375,0,2,checked,
nonlinear,0.5,0,2,checked,
supernal,0,0.25,1,checked,
tonic,0,0,2,unchecked,2
chondritic,0,0,2,unchecked,2
permeability,0,0,2,unchecked,2
banded,0,0,2,unchecked,2
insecurely,0,0.125,0,checked,
inconsequentially,0.125,0,2,checked,
unscientific,0.625,0,0,checked,
unseasonable,0.625,0,0,checked,
lawfully,0,0,2,unchecked,1
commensurate,0,0,2,unchecked,2
radioactive,0,0,2,unchecked,2
unbar,0,0,2,checked,
connect,0,0,2,unchecked,2
potence,0,0,2,unchecked,2
expansive,0.5,0,0,unchecked,2
irremovable,0.5,0,2,checked,
inauspiciousness,0.625,0,0,checked,
miscible,0,0.375,1,unchecked,2
escalate,0,0,2,unchecked,2
underachievement,0,0.125,0,checked,
immovability,0.5,0,2,checked,
unfledged,0.375,0,0,checked,
nondrinker,0,0,2,checked,
nonreturnable,0.125,0.25,0,checked,
regularly,0,0.125,2,unchecked,2
backless,0,0,2,checked,
uncertain,0.125,0.25,0,checked,
profitability,0,0.75,1,unchecked,1
incompetent,0.625,0,0,checked,
imperfectibility,0,0.25,0,checked,
overhand,0,0,2,unchecked,2
courtesy,0,0.5,1,unchecked,1
syncategorem,0.375,0.125,2,checked,
cellular,0,0,2,unchecked,2
uninstructively,0.125,0,0,checked,
delineated,0,0,2,unchecked,2
decrement,0,0,2,unchecked,2
chaste,0,0,2,unchecked,2
go,0,0,2,unchecked,2
noncompetitive,0.75,0,2,checked,
translatable,0,0.125,2,unchecked,2
unloaded,0.625,0,2,checked,
keyed,0,0,2,unchecked,2
unactable,0.125,0.25,2,checked,
unsociability,0,0.5,0,checked,
unsentimentally,0,0.25,2,checked,
